index,FJSYCA1001,FJSYCA1002,FJSYCA1003,FJSYCA1004,FJSYCA1007,FJSYCA1011,FJSYCA1012,FJSYCA1016,FJSYCA1018,FJSYCA1021,FJSYCA1027,FJSYCA1029,FJSYCA1032,FJSYCA1035,FJSYCA1038,FJSYCA1041,FJSYCA1043,FJSYCA1044,FJSYCA1048,FJSYCA1049,FJSYCA1051,FJSYCA1052,FJSYCA1057,FJSYCA1059,FJSYCA1066,FJSYCA1067,FJSYCA1069,FJSYCA1071,FJSYCA1079,FJSYCA1080,FJSYCA1083,FJSYCA1089,FJSYCA1092,FJSYCA1093,FJSYCA1094,FJSYCA1095,FJSYCA1096,FJSYCA1099,FJSYCA1103,FJSYCA1110,FJSYCA1113,FJSYCA1118,FJSYCA1120,FJSYCA1127,FJSYCA1128,FJSYCA1129,FJSYCA1130,FJSYCA1131,FJSYCA1132,FJSYCA1133,FJSYCA1135,FJSYCA1136,FJSYCA1138,FJSYCA1140,FJSYCA1141,FJSYCA1142,FJSYCA1144,FJSYCA1145,FJSYCA1146,FJSYCA1148,FJSYCA1149,FJSYCA1150,FJSYCA1151,FJSYCA1152,FJSYCA1153,FJSYCA1154,FJSYCA1158,FJSYCA1159,FJSYCA1160,FJSYCA1163,FJSYCA1164,FJSYCA1165,FJSYCA1166,FJSYCA1167,FJSYCA1168,FJSYCA1169,FJSYCA1170,FJSYCA1171,FJSYCA1172,FJSYCA1173,FJSYCA1174,FJSYCA1181,FJSYCA1182,FJSYCA1185,FJSYCA1186,FJSYCA1188,FJSYCA1191,FJSYCA1192,FJSYCA1194,FJSYCA1197,FJSYCA1198,FJSYCA1202,FJSYCA1203,FJSYCA1205,FJSYCA1206,FJSYCA1213,FJSYCA1218,FJSYCA2004,FJSYCA2005,FJSYCA2008,FJSYCA2011,FJSYCA2019,FJSYCA2020,FJSYCA2022,FJSYCA2034,FJSYCA2035,FJSYCA2037,FJSYCA2038,FJSYCA2044,FJSYCA2054,FJSYCA2058,FJSYCA2067,FJSYCA2073,FJSYCA2075,FJSYCA2079,FJSYCA2081,FJSYCA2088,FJSYCA2094,FJSYCA2097,FJSYCA2102,FJSYCA2105,FJSYCB1012,FJSYCB1016,FJSYCB1027,FJSYCB1032,FJSYCB1043,FJSYCB1049,FJSYCB1059,FJSYCB1067,FJSYCB1089,FJSYCB1093,FJSYCB1094,FJSYCB1099,FJSYCB1110,FJSYCB1120,FJSYCB1130,FJSYCB1131,FJSYCB1133,FJSYCB1135,FJSYCB1140,FJSYCB1146,FJSYCB1148,FJSYCB1151,FJSYCB1154,FJSYCB1159,FJSYCB1160,FJSYCB1166,FJSYCB1167,FJSYCB1168,FJSYCB1169,FJSYCB1170,FJSYCB1171,FJSYCB1174,FJSYCB1181,FJSYCB1182,FJSYCB1185,FJSYCB1188,FJSYCB1197,FJSYCB1203,FJSYCB1205,FJSYCB1206,FJSYCB1213,FJSYCB1218,FJSYCB2004,FJSYCB2005,FJSYCB2008,FJSYCB2019,FJSYCB2020,FJSYCB2034,FJSYCB2035,FJSYCB2037,FJSYCB2038,FJSYCB2067,FJSYCB2073,FJSYCB2075,FJSYCB2079,FJSYCB2081
OTU1,0,0,0,0,5,0,0,0,0,0,0,0,0,6,16,0,35,0,2,0,143,0,186,0,0,0,7,0,0,2,9,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,54,0,9,0,0,0,0,0,0,41,0,4,8,130,0,0,0,5,49,9,0,0,9,5,9,74,0,14,219,0,0,0,0,0,0,559,97,253,13,6,24,86,32,10,0,179,0,178,0,3,0,0,0,12,2,4,0,17,0,0,0,0,0,0,0,0,78,14,0,3,0,0,0,35,7,0,0,288,10,4,4,0,0,0,0,0,0,0,0,3,5,0,42,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,11,0
OTU2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,590,0,19,0,0,2,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,175,0,0,0,0,431,0,0,14,0,0,0,0,0,0,56,0,3311,12,0,4,0,0,0,0,0,0,0,0,1085,2,0,0,37,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2373,35,7,0,0,0,0,0,0,0,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0
OTU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4,0,0,0,0,40,0,0,0,0,0,0,0,0,4,19,3,24,0,0,0,340,0,127,11,0,0,8,0,0,0,3,23,0,2,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,28,2,0,0,19,18,0,0,0,0,123,0,8,0,17,10,0,0,10,80,9,27,9,118,0,0,151,16,0,0,0,0,11,5,11,47,0,21,218,0,22,0,0,0,31,210,92,221,0,13,149,33,9,13,0,269,64,34,0,42,0,2,4,0,0,0,7,9,0,0,0,0,0,0,0,30,84,14,0,0,0,238,19,34,23,0,5,348,330,0,4,0,0,0,0,0,0,0,0,23,0,4,15,0,7,0,0,0,0,0,15,13,0,67,0,0,16,0,0,0,0,0,79,16,0,0,4,0
OTU5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,36,0,0,0,27,0,0,0,6,0,21,0,0,53,0,0,0,0,0,0,9,3,0,0,0,7,0,27,9,0,0,0,7,0,0,0,0,23,0,2,0,27,0,0,7,0,0,12,0,19,57,16,0,0,0,0,0,0,0,15,0,11,0,2,0,0,0,0,11,7,0,0,0,0,0,0,0,0,6,0,0,5,0,9,0,0,0,9,0,5,0,0,0,0,0,7,7,60,15,43,0,0,0,0,0,0,0,14,0,0,0,0,0,0,27,8,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,49,0,0,0,0,0,0,0,9,0,0,0,13
OTU6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
OTU7,180,8,8,1100,5828,2116,1031,2538,1214,863,2091,1057,6987,3200,4089,657,1187,69,21,690,215,24,149,353,241,5853,4994,744,5987,234,16758,41,29,416,330,12015,668,1640,3065,194,2042,227,17,14,1288,546,227,0,6948,1693,1256,576,617,11,528,811,43,1801,109,4367,112,362,1362,942,9,66,275,965,337,312,954,183,946,826,717,36,407,2978,859,786,2178,138,0,219,4849,794,21,298,30,28,4307,21,2117,32,246,521,325,116,2217,15,11,282,17,174,298,694,161,3561,865,543,1129,3033,207,0,291,1615,2904,8115,73,3363,96,1550,2969,1712,1637,3024,143,971,11712,71,752,16,2298,309,3849,2288,1255,9257,5556,548,10653,16288,3803,178,5513,281,734,559,202,10420,837,1192,1857,6115,3875,24152,227,2990,1721,54,930,832,1260,2990,2075,9,356,33,0,340,1211,1588,600,1262,1122,15,302
OTU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3
OTU10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
