#OTU ID	otuid	A1001	A1002	A1003	A1004	A1005	A1011	A1012	A1016	A1018	A1019	A1028	A1029	A1032	A1035	A1038	A1041	A1044	A1048	A1051	A1052	A1054	A1057	A1059	A1067	A1071	A1079	A1080	A1089	A1091	A1093	A1094	A1095	A1096	A1110	A1118	A1127	A1128	A1129	A1131	A1133	A1134	A1135	A1136	A1138	A1140	A1144	A1145	A1146	A1148	A1150	A1151	A1152	A1153	A1154	A1157	A1158	A1160	A1163	A1164	A1165	A1167	A1168	A1169	A1172	A1174	A1181	A1182	A1186	A1188	A1189	A1190	A1191	A1192	A1194	A1197	A1198	A1201	A1202	A1203	A1205	A1206	A1213	A1218	A1219	A2004	A2005	A2011	A2019	A2020	A2022	A2034	A2037	A2038	A2044	A2058	A2067	A2073	A2075	A2079	A2081	A2088	A2094	A2102	B1001	B1002	B1003	B1004	B1005	B1011	B1012	B1016	B1018	B1019	B1028	B1029	B1032	B1035	B1038	B1041	B1044	B1048	B1051	B1052	B1054	B1057	B1059	B1067	B1071	B1079	B1080	B1089	B1091	B1093	B1094	B1095	B1096	B1110	B1118	B1127	B1128	B1129	B1131	B1133	B1134	B1135	B1136	B1138	B1140	B1144	B1145	B1146	B1148	B1150	B1151	B1152	B1153	B1154	B1157	B1158	B1160	B1163	B1164	B1165	B1167	B1168	B1169	B1172	B1174	B1181	B1182	B1186	B1188	B1189	B1190	B1191	B1192	B1194	B1197	B1198	B1201	B1202	B1203	B1205	B1206	B1213	B1218	B1219	B2004	B2005	B2011	B2019	B2020	B2022	B2034	B2037	B2038	B2044	B2058	B2067	B2073	B2075	B2079	B2081	B2088	B2094	B2102
2f4a2b08eec8d8d5f66dc0d20552881f	OTU1	300	13	182	1658	778	120	182	1005	2009	69	3041	142	1460	127	38	112	378	1594	3562	708	548	3988	703	2547	183	1388	1120	1241	3437	714	2432	81	639	287	352	541	818	137	435	119	161	159	304	96	373	118	35	727	2759	9740	126	2020	1064	1524	586	89	1900	963	667	1133	219	1002	122	581	398	1424	735	2322	118	148	1599	2800	2689	831	60	693	809	7898	828	612	7644	15485	13752	9853	2471	1579	6085	2582	3694	44	292	13375	6957	265	836	2079	587	447	347	186	1341	465	5513	8098	284	578	184	2933	866	178	164	2438	983	2597	595	709	740	108	339	411	1407	1077	328	1400	436	3264	314	4950	1366	469	465	115	1331	45	2813	2286	2283	453	3780	6745	3258	539	579	188	5382	1495	3934	2326	817	383	165	372	130	162	139	460	4088	4739	3511	769	6850	5643	5782	1364	299	16583	731	633	8209	313	591	3055	59	8989	4710	331	120	454	330	7190	210	2155	624	422	538	569	873	1620	8869	4819	364	199	25587	4984	3168	478	3858	822	868	645	1397	112	3437	2713	8075	1464
38f9479d2f37d1036274704b09d2e3c5	OTU2	895	1178	2612	69	176	770	728	466	930	610	2250	542	9594	1076	44	1380	115	2125	2068	630	3739	1123	2161	959	2221	2277	1405	6793	1240	4102	1361	349	1558	887	1397	11989	3047	1724	414	1454	1620	919	530	2241	1389	1147	758	4274	333	353	607	667	912	2078	377	1025	3146	2512	3315	1259	1442	777	1041	881	830	1294	984	4324	1705	557	797	2261	2769	1127	628	2060	996	731	1075	1113	1257	4420	2864	2095	373	649	825	4972	3542	1495	227	798	421	1119	107	10093	2235	951	4022	1736	1728	2036	69	25	3121	4303	817	817	1031	1355	556	365	1959	2778	2625	7923	2433	1425	1935	5557	840	3357	1086	3095	3684	2275	1395	3008	732	1784	10090	1239	4800	984	85	2211	2973	1821	6333	6986	4180	3178	5216	3035	1648	7314	3921	7016	2967	1947	1434	1103	1577	468	1755	1808	2623	1145	755	2439	6420	4512	4105	2409	770	1576	1621	1518	1235	2318	1521	3642	386	1376	2208	1650	1208	2486	852	532	1214	8222	824	2736	1023	1079	3041	974	5564	398	825	8	25	10	31	3286	3428	2128	2282	1263	1216	835	1184	1350	746	121
39588ae5a2fba3ddc3cad7a75d195554	OTU3	73	355	1334	0	28	373	447	621	154	90	1752	0	5433	833	25	0	75	12	0	431	995	25	983	1346	769	654	367	17	186	938	487	0	186	420	288	856	42	346	0	425	94	345	172	424	162	190	498	1299	76	22	0	336	124	590	318	757	501	356	30	374	126	695	169	109	758	739	1500	2816	1949	0	85	454	282	1002	73	630	593	114	791	161	0	21	9	7	422	261	666	1064	1308	0	490	151	114	368	22	68	971	192	110	868	39	750	27	7	627	914	17	115	787	787	463	272	286	0	20	2051	766	1250	319	21	18	359	65	754	2235	1294	1276	2032	487	93	24	962	819	128	0	315	0	419	1551	1268	145	0	1469	209	491	412	1280	89	778	503	1364	868	206	0	480	1601	0	669	585	221	5483	3587	2495	837	372	912	3719	4588	896	498	679	1129	0	27	0	1622	140	626	1092	22	1170	55	73	341	256	185	619	1991	974	252	667	0	0	0	16	1613	0	2451	2300	703	606	523	0	572	317	36
0ae1308cf1201de65c4edfcd616e89b2	OTU4	8	309	744	242	47	41	72	757	98	31	405	0	14	30	0	258	27	1341	976	190	716	1444	220	1997	534	1775	25	15	34	1911	73	308	513	600	36	338	274	0	0	497	205	497	13	271	110	376	195	31	97	16	468	507	909	124	44	139	82	91	556	113	1359	1446	362	593	44	346	103	376	601	579	11	797	2178	622	149	204	275	97	396	62	149	13	0	0	716	235	24	2625	1404	0	602	113	0	718	32	83	1165	469	430	689	2277	610	24	0	2041	918	150	273	84	164	605	347	776	792	14	83	566	487	421	15	2380	710	27	1070	385	256	1896	690	1666	34	0	569	1031	86	0	882	460	107	1350	1044	42	30	1055	50	1373	106	2347	1289	1602	1193	2136	607	136	383	1259	2649	417	796	162	136	1199	919	1002	1530	742	1219	479	593	1082	1573	1227	1058	126	17	304	1804	1956	497	1299	219	547	4223	62	1106	177	131	460	755	311	170	65	0	0	0	11	818	914	4544	4078	815	552	683	916	375	31	57
6a8e34c34c852052fbb2ef47f31923cf	OTU5	0	6	0	0	307	0	779	43	928	16	0	300	6156	0	3163	199	23	11	125	24	2812	0	237	0	409	1340	222	0	0	0	208	4263	522	24	82	0	25	341	0	110	0	604	353	93	11	0	1584	97	1945	0	951	0	0	0	93	0	250	242	0	0	0	463	0	0	0	92	0	2550	659	0	0	21	279	13	0	3341	0	0	0	0	235	459	286	106	0	192	11	0	0	97	94	161	0	116	0	1658	0	0	277	1551	1421	5890	0	0	22	0	0	5302	0	1073	0	836	2139	45	5965	1353	516	0	152	33	20	0	199	2993	0	0	0	88	1133	264	19	0	0	0	184	558	0	3947	17	31	2526	22	4166	50	3234	237	49	0	83	0	43	2810	120	2814	0	0	0	4122	211	160	29	34	0	91	32	1319	1582	1379	4401	1430	508	89	0	0	0	0	0	2220	0	0	0	0	0	515	666	979	2704	715	382	13	335	0	0	0	969	813	244	0	24	0	0	0	0	119	0	0
cd4a4cd5016bf44fe442b7072a21e1eb	OTU6	5	0	8	194	54	0	0	1676	206	0	588	610	201	2881	478	407	15	0	40	0	273	8	36	3900	163	510	0	28	0	95	51	3485	103	0	108	0	21	180	0	96	34	581	109	0	0	43	78	0	1161	0	263	854	0	45	190	198	68	51	889	170	782	146	0	808	0	0	0	151	83	0	0	0	0	0	0	565	0	13	0	0	0	34	31	0	105	333	0	0	0	69	76	0	3349	706	28	684	198	0	0	0	1182	1217	0	11	0	8	722	103	0	46	1972	268	0	72	732	203	698	145	257	0	10	147	1527	427	0	783	7748	1840	331	3861	20	106	231	16	391	197	282	1935	45	58	520	918	331	91	1815	373	0	422	70	36	6968	5307	161	656	642	253	158	947	1902	98	1629	1663	2180	292	112	7896	96	54	1112	2128	169	0	0	0	124	325	0	590	4572	69	140	1595	34	248	100	171	507	2006	247	0	0	0	0	0	158	598	626	180	260	890	811	15	287	806	0	0
849154d1fef3cbacbdede1343a55ac92	OTU7	235	22	0	9	0	0	0	2982	298	0	312	7	97	260	0	974	27	112	557	268	89	10	80	6526	77	205	193	459	0	316	790	0	19	132	92	228	163	34	217	304	766	57	182	7	22	224	185	84	0	1357	1043	0	259	5698	294	101	111	78	53	0	36	732	86	37	0	0	513	591	17	1277	8	62	1458	36	4106	161	667	54	215	87	570	528	478	427	213	663	43	2415	112	899	0	93	12	202	0	271	78	1090	125	594	32	93	0	841	185	300	83	0	123	138	155	416	45	181	185	57	67	285	1629	385	1239	434	0	752	493	104	717	188	93	0	56	273	716	4034	13	58	372	12627	247	322	66	120	772	2736	469	10889	26	608	1012	804	588	215	47	178	14	47	392	3569	376	35	267	252	82	319	447	0	35	30	3203	299	590	104	805	94	217	57	89	72	165	21	231	451	242	37	22	11	66	202	777	24	0	0	9	0	365	94	193	42	62	162	70	753	2244	171	64	0
dd5ce8d0b040693d540cb5aaf1b9fb3b	OTU8	413	73	437	248	0	4	17	394	221	95	897	0	148	0	10	55	0	703	159	942	381	100	984	704	274	454	12625	0	302	190	293	13	0	422	210	146	433	557	16	906	99	571	1488	91	546	38	81	14	17	70	1672	16	630	12	1107	140	404	187	17	22	2093	1981	23	1215	126	2496	249	909	438	22	189	236	111	1370	267	70	387	10	534	2323	28	24	71	32	186	1496	31	1732	535	0	253	77	0	512	30	65	1853	12	663	0	80	14	181	1101	598	471	340	20	0	110	33	414	508	79	60	1406	919	250	18	23	1961	3240	50	1740	188	320	83	499	69	67	0	245	4404	34	0	23	787	780	720	689	111	2716	211	265	1622	438	487	1804	622	562	104	18	153	453	9	23	499	905	144	42	465	592	192	593	905	264	519	639	2042	55	57	65	0	2505	70	17	0	35	61	0	234	309	653	299	9	0	16	750	1356	89	111	8	6	0	0	228	544	27	33	117	186	52	299	717	204	704
c1e8642f8860f09533337e6dcac4c65f	OTU9	0	246	205	103	14	4	29	172	733	23	0	0	0	24	0	101	0	0	554	477	647	0	0	366	5	115	358	0	316	80	0	36	806	232	222	7	0	191	0	162	60	849	906	461	43	358	0	1531	183	0	13	439	573	7	19	0	1950	1722	514	151	68	802	16	73	395	126	1059	183	5	0	98	0	503	594	19	5	38	462	36	282	0	0	0	0	107	162	14	3374	21	0	535	165	11	0	13	22	339	228	3000	870	30	6352	20	0	719	488	606	54	52	270	162	352	683	0	0	7	147	347	369	8	7	239	10	1085	0	993	449	1473	267	6	6	275	238	56	10	1675	1130	31	9	0	3078	10	374	129	1335	1204	1096	1624	2213	1761	339	2548	24	55	1070	0	838	2110	90	76	1782	961	1184	2391	922	1660	1182	1134	1724	2351	0	0	0	5	552	5	6	0	161	194	200	14	83	696	6	0	7	190	1628	69	178	0	6	0	509	2617	0	12	0	1670	812	284	798	1019	14	26
5c0644f23e7db04b7c8bd37098828313	OTU10	0	307	0	0	15	356	50	347	283	82	0	0	0	0	434	338	0	0	983	140	0	9	737	767	517	285	657	0	131	1964	732	203	0	155	208	0	0	0	0	136	104	239	0	0	89	197	0	0	121	16	0	37	339	259	52	515	1004	835	0	0	992	1009	770	807	240	998	623	199	13	0	57	368	878	536	1202	245	187	91	225	254	1529	20	9	0	38	382	105	13	0	0	337	277	0	1061	38	119	132	1176	32	295	1933	138	0	0	4033	0	8	210	698	379	236	160	183	609	0	14	296	834	319	17	13	1816	0	0	0	328	699	475	87	29	9	538	2219	219	51	0	1331	274	0	0	24	0	573	549	1814	26	32	2482	479	423	796	681	145	0	141	1357	1061	849	1868	701	770	611	548	2147	675	15	606	693	548	33	17	1072	0	9	633	1165	18	274	397	508	745	48	77	286	113	131	395	1454	1433	0	120	0	0	0	0	0	345	1814	1808	549	666	292	4805	570	86	20
