non-response	responder	MeanDecreaseAccuracy	MeanDecreaseGini
OTU35	0.00110526296895727	0.00473692696192696	0.00178603153388455	0.348618395568362
OTU117	0.00102055724624225	0.000854996392496393	0.000930103940719455	0.268514503627314
OTU14	0.000147383344746231	0.00235321067821068	0.000607811512919404	0.244820445579441
OTU1	0.000576532786789534	0.000671570096570097	0.000596946659141518	0.226998405608004
OTU5	7.65101908314174e-05	0.000790699578199578	0.000172296135756015	0.222460570321036
OTU277	0.000357454593687332	0.00291163836163836	0.0010308247426895	0.217753414616848
OTU19	0.000328910236301541	0.000283358308358308	0.000307970677395562	0.216729780286897
OTU135	0.000882452054406521	-6.87590187590189e-05	0.000631203621377169	0.212541579240747
OTU106	0.000412697645919121	0.000529340104340104	0.000422144964064027	0.210771113775917
OTU67	0.000250853046477511	0.0015781413031413	0.00063446512754546	0.195685816060395
OTU77	0.000954839231808651	0.000252161727161727	0.000799813242633012	0.188905329846772
OTU53	0.000469913233942469	0.0011741452991453	0.000691231644455718	0.184144723944042
OTU2369	0.000994075390331688	0.00250815712065712	0.00138507877293507	0.183449769427741
OTU287	0.000702973223013545	0.00147471972471972	0.0009336687524473	0.182241842972577
OTU99	0.000563715417480229	0.00148754301254301	0.000822748132786455	0.175815283899237
OTU12	0.000534475247460761	0.00121743534243534	0.000648315912368696	0.175001686647704
OTU69	7.93720878801524e-05	0.000822655122655123	0.000243575030134439	0.169103607182599
OTU7	0.000513851103122274	0.000196464646464646	0.000488230767722312	0.167710217919799
OTU38	-0.000202669949267558	0.000562520812520813	-6.95811265120952e-05	0.163497724084944
OTU150	0.00058255521308914	0.00112593795093795	0.000740726651003779	0.162731570146541
OTU129	1.54920975082266e-05	0.000125036075036075	3.75062150121368e-05	0.160549979843996
OTU628	0.000365608465608466	0.00113685481185481	0.000560637133856948	0.160139980848026
OTU581	0.000746467955388495	0.00156887556887557	0.000990153764479824	0.158194153528603
OTU627	0.0007599775717296	0.00240004717504717	0.00109888504571849	0.154312787690776
OTU316	0.000238082213228209	0.000329473304473304	0.000251082188285794	0.151622876322603
OTU506	0.000570307929374465	0.00133500943500944	0.000824767424128385	0.151440387044276
OTU13	-0.000156476652030045	-0.000990018315018315	-0.000377505061294821	0.147273781264251
OTU37	-0.000180816813905049	2.33877233877234e-05	-0.000185019095726532	0.144964564994785
OTU1078	0.000838284173694593	0.00113887501387501	0.000875731143524254	0.144229921562395
OTU64	0.000610773118381736	9.64646464646465e-05	0.000458160577811404	0.142044446455963
OTU552	0.000142847059376295	0.000712373737373737	0.000306456831141781	0.141147505437173
OTU6	0.000454488251136733	0.00020952380952381	0.000303708229110428	0.134322177676684
OTU47	0.000524109142323342	0.000539718614718615	0.000554802356387397	0.132659122257524
OTU2	-0.000362954297079472	-0.000281349206349206	-0.000367179634926747	0.131809509287041
OTU33	0.000381320031521644	0.000402466977466978	0.000343989868643218	0.13106642561286
OTU23	-3.66634820366019e-05	0.001026887001887	0.000267848760873619	0.129985265899121
OTU109	0.000160714458264514	0.00136904761904762	0.000439380889782789	0.129373527252497
OTU891	-0.000256637676904157	-0.000804761904761905	-0.000429257410096563	0.127126317655906
OTU1912	8.77567707906974e-05	-0.000319444444444444	-3.33728465307413e-05	0.124928037983441
OTU189	0.000158306399569155	0.000189393939393939	0.000206169656459904	0.124301790156018
OTU3	-0.000363465519155174	-0.000902508602508603	-0.000511907175674826	0.122889690956851
OTU213	0.000335566362558207	0.00104936452436452	0.000523482621250782	0.121797040145014
OTU471	0.000363169869721594	0.000868444464032699	0.000479642617622157	0.121646747169831
OTU322	0.000560805950322079	0.000235664335664336	0.000477686170410629	0.121251203887049
OTU16	0.000705616730032236	0.000152608502608503	0.00055519634598885	0.121096277361193
OTU321	0.000249749663477175	0.000576562326562327	0.000305033835113394	0.120749245403122
OTU21	7.97180108217628e-05	-0.000410628260628261	-8.99558016991981e-05	0.119566760789451
OTU11	0.000316786167935079	0.000130328005328005	0.000247408084884488	0.116055168522947
OTU434	0.000415306895719371	0.0013026307026307	0.000682174832907305	0.115117091328009
OTU15	0.000658303194669749	0.000416594516594516	0.000631942214628109	0.113416210200554
OTU459	-3.7952286111846e-05	-0.00047979797979798	-0.000135761393019458	0.113275708120283
OTU30	6.76387973595621e-05	-0.000420177045177045	-6.67215287495607e-05	0.112595151875046
OTU164	-0.000113600638919301	-0.000102453102453102	-0.000100111175797094	0.112360200985633
OTU165	3.06549916630562e-05	8.61360861360861e-05	3.37510839606286e-05	0.111785472013003
OTU318	-6.66188176217329e-05	0.000412662337662338	1.53294078737798e-06	0.110954779448794
OTU62	0.000295271541477784	-0.000672680097680098	0.000103383318224649	0.110481536183155
OTU265	0.000635666969004675	0.00135959595959596	0.000783199000302132	0.109337733229283
OTU2115	0.000225061492452797	0.000703113553113553	0.000344534202204292	0.109182889953623
OTU154	0.000533574625857235	0.00021060606060606	0.000406268563457004	0.108964375421201
