"","Taxa","Group","N","Mean","SD","SE"
"7","g__Bifidobacterium","C",95,0.0617613918336747,0.0881021401513727,0.00903908885676807
"8","g__Bifidobacterium","N",82,0.0636305204219558,0.0941770616244616,0.0104001166364342
"19","g__Collinsella","C",95,0.0101748420294105,0.0152962183692264,0.00156935889155936
"20","g__Collinsella","N",82,0.00810641760805383,0.00795673819579404,0.000878674741539557
"35","g__Bacteroides","C",95,0.0789025754210308,0.105659126741564,0.0108403976737066
"36","g__Bacteroides","N",82,0.0537240079626326,0.0833028036412338,0.00919925573241473
"67","g__Parabacteroides","C",95,0.00879796160223839,0.0174169491122133,0.00178694127484996
"68","g__Parabacteroides","N",82,0.00360287978867388,0.00592886373594607,0.000654733470250341
"77","g__Lactobacillus","C",95,0.0213898474380912,0.0658794962964878,0.00675909370464706
"78","g__Lactobacillus","N",82,0.00395455380115716,0.0138273088919915,0.00152697082245092
"85","g__Streptococcus","C",95,0.0205912178714545,0.0279847398272188,0.00287117372514618
"86","g__Streptococcus","N",82,0.0310872722105155,0.0560524666645939,0.00618995943403057
"121","g__[Eubacterium] hallii group","C",95,0.0419907474465132,0.0380282463978404,0.00390161575719445
"122","g__[Eubacterium] hallii group","N",82,0.0392855906338874,0.0260376398888754,0.0028753763083158
"125","g__[Eubacterium] ventriosum group","C",95,0.00206100803298804,0.0042937194270621,0.000440526318209319
"126","g__[Eubacterium] ventriosum group","N",82,0.00288107292349991,0.00564189019598759,0.000623042544289625
"129","g__[Ruminococcus] gauvreauii group","C",95,0.00282375578677056,0.00652518245238664,0.000669469593955461
"130","g__[Ruminococcus] gauvreauii group","N",82,0.00538481752155536,0.00952382544705127,0.00105173057818833
"133","g__[Ruminococcus] torques group","C",95,0.0214009409465763,0.0311833662363636,0.00319934587036521
"134","g__[Ruminococcus] torques group","N",82,0.0272738140713505,0.0262259125474926,0.00289616754532507
"137","g__Agathobacter","C",95,0.0154725881158507,0.0268548636444267,0.00275525087473804
"138","g__Agathobacter","N",82,0.0121112633718849,0.0184447978620669,0.00203688717605011
"139","g__Anaerostipes","C",95,0.0287685911086185,0.0409251126943973,0.0041988279681097
"140","g__Anaerostipes","N",82,0.024520754760716,0.0264273432602346,0.00291841184633152
"141","g__Blautia","C",95,0.141299114836184,0.0873077109961157,0.00895758214521217
"142","g__Blautia","N",82,0.142907010233646,0.0953397899530672,0.0105285185001725
"143","g__CAG-56","C",95,0.00160627278423966,0.00339812063703323,0.000348639821136991
"144","g__CAG-56","N",82,0.00361782580724435,0.00603081339002927,0.000665991926133551
"151","g__Dorea","C",95,0.0209028577404304,0.0232807666947282,0.00238855626487362
"152","g__Dorea","N",82,0.023201789580075,0.0178143031722854,0.00196726068527546
"155","g__Fusicatenibacter","C",95,0.0204107848323421,0.0228258719019751,0.00234188504388952
"156","g__Fusicatenibacter","N",82,0.0297373574716178,0.0344158573117128,0.00380059564410661
"181","g__Marvinbryantia","C",95,0.00100151484355741,0.00163990672558454,0.000168250879988858
"182","g__Marvinbryantia","N",82,0.00148887969510799,0.00229471635019657,0.00025340902846111
"185","g__Roseburia","C",95,0.00691324319131484,0.0105197244160563,0.00107930095207754
"186","g__Roseburia","N",82,0.0108369349674924,0.0158693824467613,0.00175248012146123
"209","g__Butyricicoccus","C",95,0.00372774066412703,0.00514370224078609,0.000527732714861843
"210","g__Butyricicoccus","N",82,0.006323239996782,0.00758703997172827,0.000837848402468814
"217","g__Faecalibacterium","C",95,0.0399149324936176,0.0464204839874776,0.00476264116644675
"218","g__Faecalibacterium","N",82,0.0468941188911803,0.0422649720525537,0.00466738536327424
"253","g__Ruminococcaceae UCG-013","C",95,0.00572305412336541,0.0114573469115069,0.00117549899035358
"254","g__Ruminococcaceae UCG-013","N",82,0.00896709971604361,0.0135692674272887,0.0014984749097132
"259","g__Ruminococcus 2","C",95,0.0144134855963285,0.0239444114847801,0.00245664478368035
"260","g__Ruminococcus 2","N",82,0.0207714647254456,0.0359318973860369,0.00396801426310485
"261","g__Subdoligranulum","C",95,0.0165992261336927,0.0202628094134311,0.00207892038106076
"262","g__Subdoligranulum","N",82,0.0255666084441432,0.0231987637720775,0.00256187488640038
"263","g__UBA1819","C",95,0.00194136748694408,0.0127194412560538,0.001304987137933
"264","g__UBA1819","N",82,0.000347760597828864,0.00160600586653342,0.000177353678726441
"273","g__Erysipelotrichaceae UCG-003","C",95,0.0233987497275574,0.0422721931626681,0.00433703550800595
"274","g__Erysipelotrichaceae UCG-003","N",82,0.0249095063997456,0.0348132256470123,0.00384447763578756
"277","g__Holdemanella","C",95,0.0132553289009287,0.0308276137856945,0.00316284643905644
"278","g__Holdemanella","N",82,0.0229459526313357,0.0427872852822906,0.00472506521032317
"317","g__Escherichia-Shigella","C",95,0.0839467320206452,0.127262623224042,0.0130568696457436
"318","g__Escherichia-Shigella","N",82,0.0808270206678103,0.140690853658748,0.0155367056743084
"319","g__Klebsiella","C",95,0.0137845809688876,0.0350108663691666,0.00359203909825111
"320","g__Klebsiella","N",82,0.0254545228765651,0.0547437877266572,0.00604544002177221
"323","g__Haemophilus","C",95,0.00405118396509977,0.0163716269951523,0.00167969348854392
"324","g__Haemophilus","N",82,0.0100594790354326,0.0309328635079226,0.00341596332304482
"331","g__Akkermansia","C",95,0.0126738794147402,0.0373742903989468,0.00383452128738634
"332","g__Akkermansia","N",82,0.00121441565789815,0.00363477018942218,0.000401393218949251
