,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,Unassigned,__,__,__,__,__,
OTU2,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,
OTU3,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanosphaera,
OTU4,k__Bacteria,__,__,__,__,__,
OTU5,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,
OTU6,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Alloscardovia,
OTU7,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,
OTU8,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Gardnerella,
OTU9,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,
OTU10,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium 1,
OTU11,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Lawsonella,
OTU12,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,
OTU13,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leifsonia,
OTU14,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,
OTU15,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Rothia,
OTU16,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,
OTU17,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,
OTU18,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__uncultured,
OTU19,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,
OTU20,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Enorma,
OTU21,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriales Incertae Sedis,g__Raoultibacter,
OTU22,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriales Incertae Sedis,g__uncultured,
OTU23,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,__,
OTU24,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Adlercreutzia,
OTU25,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__CHKCI002,
OTU26,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Eggerthella,
OTU27,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Enterorhabdus,
OTU28,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Gordonibacter,
OTU29,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Paraeggerthella,
OTU30,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Senegalimassilia,
OTU31,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Slackia,
OTU32,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__uncultured,
OTU33,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__uncultured,g__uncultured bacterium,
OTU34,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,
OTU35,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Barnesiellaceae,g__Barnesiella,
OTU36,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Barnesiellaceae,g__Coprobacter,
OTU37,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Dysgonomonas,
OTU38,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Butyricimonas,
OTU39,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,
OTU40,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,__,
OTU41,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__metagenome,
OTU42,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__uncultured Bacteroidales bacterium,
OTU43,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__uncultured Porphyromonadaceae bacterium,
OTU44,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__uncultured bacterium,
OTU45,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__uncultured organism,
OTU46,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,
OTU47,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,__,
OTU48,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,
OTU49,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Paraprevotella,
OTU50,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
OTU51,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella 2,
OTU52,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella 6,
OTU53,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella 7,
OTU54,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella 9,
OTU55,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotellaceae Ga6A1 group,
OTU56,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotellaceae NK3B31 group,
OTU57,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotellaceae UCG-003,
OTU58,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__uncultured,
OTU59,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,
OTU60,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Rikenellaceae RC9 gut group,
OTU61,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,
OTU62,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__uncultured,g__gut metagenome,
OTU63,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__uncultured,
OTU64,k__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Gastranaerophilales,__,__,
OTU65,k__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Gastranaerophilales,f__Candidatus Melainabacteria bacterium MEL.A1,g__Candidatus Melainabacteria bacterium MEL.A1,
OTU66,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,__,__,
OTU67,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__Carnegiea gigantea,g__Carnegiea gigantea,
OTU68,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__Phaseolus acutifolius (tepary bean),g__Phaseolus acutifolius (tepary bean),
OTU69,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,
OTU70,k__Bacteria,p__Epsilonbacteraeota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,
OTU71,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Anoxybacillus,
OTU72,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,
OTU73,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Family XI,g__Gemella,
OTU74,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Lysinibacillus,
OTU75,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Macrococcus,
OTU76,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,
OTU77,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,
OTU78,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,
OTU79,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Jeotgalibaca,
OTU80,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,
OTU81,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Vagococcus,
OTU82,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,
OTU83,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus,
OTU84,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Leuconostoc,
OTU85,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Weissella,
OTU86,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,
OTU87,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,
OTU88,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,__,__,
OTU89,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,__,
OTU90,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Catabacter,
OTU91,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenella,
OTU92,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
OTU93,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__uncultured,
OTU94,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae 1,g__Candidatus Arthromitus,
OTU95,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae 1,g__Clostridium sensu stricto 1,
OTU96,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae 1,g__Sarcina,
OTU97,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales vadinBB60 group,g__gut metagenome,
OTU98,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales vadinBB60 group,g__metagenome,
OTU99,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales vadinBB60 group,g__uncultured Clostridia bacterium,
OTU100,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales vadinBB60 group,g__uncultured Thermoanaerobacterales bacterium,
OTU101,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales vadinBB60 group,g__uncultured bacterium,
OTU102,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales vadinBB60 group,g__uncultured organism,
OTU103,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Defluviitaleaceae,g__Defluviitaleaceae UCG-011,
OTU104,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Anaerofustis,
OTU105,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,
OTU106,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Pseudoramibacter,
OTU107,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__Anaerococcus,
OTU108,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__Ezakiella,
OTU109,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__Finegoldia,
OTU110,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__Parvimonas,
OTU111,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__Peptoniphilus,
OTU112,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XIII,g__Family XIII AD3011 group,
