"","FJSYCA1001","FJSYCA1002","FJSYCA1003","FJSYCA1004","FJSYCA1007","FJSYCA1011","FJSYCA1012","FJSYCA1016","FJSYCA1018","FJSYCA1021","FJSYCA1027","FJSYCA1029","FJSYCA1032","FJSYCA1035","FJSYCA1038","FJSYCA1041","FJSYCA1043","FJSYCA1044","FJSYCA1048","FJSYCA1049","FJSYCA1051","FJSYCA1052","FJSYCA1057","FJSYCA1059","FJSYCA1066","FJSYCA1067","FJSYCA1069","FJSYCA1071","FJSYCA1079","FJSYCA1080","FJSYCA1083","FJSYCA1089","FJSYCA1092","FJSYCA1093","FJSYCA1094","FJSYCA1095","FJSYCA1096","FJSYCA1099","FJSYCA1103","FJSYCA1110","FJSYCA1113","FJSYCA1118","FJSYCA1120","FJSYCA1127","FJSYCA1128","FJSYCA1129","FJSYCA1130","FJSYCA1131","FJSYCA1132","FJSYCA1133","FJSYCA1135","FJSYCA1136","FJSYCA1138","FJSYCA1140","FJSYCA1141","FJSYCA1142","FJSYCA1144","FJSYCA1145","FJSYCA1146","FJSYCA1148","FJSYCA1149","FJSYCA1150","FJSYCA1151","FJSYCA1152","FJSYCA1153","FJSYCA1154","FJSYCA1158","FJSYCA1159","FJSYCA1160","FJSYCA1163","FJSYCA1164","FJSYCA1165","FJSYCA1166","FJSYCA1167","FJSYCA1168","FJSYCA1169","FJSYCA1170","FJSYCA1171","FJSYCA1172","FJSYCA1173","FJSYCA1174","FJSYCA1181","FJSYCA1182","FJSYCA1185","FJSYCA1186","FJSYCA1188","FJSYCA1191","FJSYCA1192","FJSYCA1194","FJSYCA1197","FJSYCA1198","FJSYCA1202","FJSYCA1203","FJSYCA1205","FJSYCA1206","FJSYCA1213","FJSYCA1218","FJSYCA2004","FJSYCA2005","FJSYCA2008","FJSYCA2011","FJSYCA2019","FJSYCA2020","FJSYCA2022","FJSYCA2034","FJSYCA2035","FJSYCA2037","FJSYCA2038","FJSYCA2044","FJSYCA2054","FJSYCA2058","FJSYCA2067","FJSYCA2073","FJSYCA2075","FJSYCA2079","FJSYCA2081","FJSYCA2088","FJSYCA2094","FJSYCA2097","FJSYCA2102","FJSYCA2105","FJSYCB1012","FJSYCB1016","FJSYCB1027","FJSYCB1032","FJSYCB1043","FJSYCB1049","FJSYCB1059","FJSYCB1067","FJSYCB1089","FJSYCB1093","FJSYCB1094","FJSYCB1099","FJSYCB1110","FJSYCB1120","FJSYCB1130","FJSYCB1131","FJSYCB1133","FJSYCB1135","FJSYCB1140","FJSYCB1146","FJSYCB1148","FJSYCB1151","FJSYCB1154","FJSYCB1159","FJSYCB1160","FJSYCB1166","FJSYCB1167","FJSYCB1168","FJSYCB1169","FJSYCB1170","FJSYCB1171","FJSYCB1174","FJSYCB1181","FJSYCB1182","FJSYCB1185","FJSYCB1188","FJSYCB1197","FJSYCB1203","FJSYCB1205","FJSYCB1206","FJSYCB1213","FJSYCB1218","FJSYCB2004","FJSYCB2005","FJSYCB2008","FJSYCB2019","FJSYCB2020","FJSYCB2034","FJSYCB2035","FJSYCB2037","FJSYCB2038","FJSYCB2067","FJSYCB2073","FJSYCB2075","FJSYCB2079","FJSYCB2081"
"k__Bacteria|p__Firmicutes",0.877881377881378,0.818086824356417,0.920091680991822,0.323237432816946,0.591506733114198,0.830602763173982,0.560495991983968,0.726534723868215,0.665133486651335,0.89984704802692,0.698775559442668,0.340254105980787,0.69902437620514,0.784199069529216,0.446752413866819,0.669596181528904,0.589924988446088,0.772321572418238,0.578055201021059,0.64612041061685,0.597563591129413,0.750558707237408,0.574866310160428,0.634417943452851,0.612989860235681,0.72338974796055,0.718945961690025,0.645570940572114,0.67837862567481,0.900169149697482,0.408968580785318,0.69181141439206,0.65146958304853,0.817222027358821,0.515987882867721,0.365324638502977,0.414642153644123,0.771847418462821,0.615840745446845,0.852652485535822,0.758404196137646,0.817732558139535,0.775025735408803,0.805923918304133,0.433570183670733,0.758834665544804,0.808969300356077,0.308527735839868,0.627481177275839,0.760810984216605,0.70579856371298,0.601374107503705,0.758474276413559,0.847510446915504,0.829475601426728,0.667418734854182,0.879375336564351,0.612929358392741,0.819294933931942,0.357121330842023,0.877118786292082,0.549577418107496,0.824435686134002,0.561225485413211,0.85419288410937,0.784819719208679,0.478507500315139,0.795593562563098,0.71457345971564,0.657230797929394,0.781622911694511,0.639842952978638,0.607588970068348,0.855719956694334,0.788388458831809,0.810278752672556,0.535863928645509,0.608706321162152,0.684682024020477,0.8160279042069,0.714241562615898,0.759320327249843,0.792759788860002,0.915720800867129,0.703996610648214,0.839132734003173,0.493113765616792,0.831005123290701,0.801959245785482,0.801193595342067,0.606266149870801,0.627364680153089,0.686024035633247,0.813611111111111,0.522405297197413,0.425070860382189,0.34736358766358,0.50569514237856,0.693062225401042,0.490403842585912,0.306390290268334,0.837248461092555,0.569183681086932,0.563981395348837,0.718877487946594,0.938484318212411,0.404729219575812,0.134578847371754,0.701240174672489,0.865342706502636,0.904117781068459,0.758869670812957,0.854271972551542,0.881899738876393,0.907524485671348,0.837925494831924,0.764721723518851,0.578592201485162,0.555900708028993,0.307013574660634,0.416740609287193,0.780928724211688,0.596868575043492,0.808007718282682,0.75321414776803,0.428054976550287,0.469573038760997,0.610394883768145,0.555560613647744,0.597882605199678,0.846064047957091,0.750561247397853,0.691620795107034,0.651389018800861,0.59557732264767,0.57547946580982,0.804301506529968,0.592490125771282,0.691327768611084,0.822344677713532,0.583353841610474,0.552009092415883,0.398419946365152,0.544399708334654,0.59530591775326,0.715925468396129,0.925855696609352,0.766228048720833,0.303719101631343,0.298827911052689,0.901262048256022,0.922069401244168,0.815161394689032,0.595514524175875,0.843871143871144,0.355339898651879,0.779903172292379,0.724241391067167,0.802044441222315,0.642592294051266,0.85933215034683,0.516834743005856,0.616626008632014,0.789024514637381,0.63155032827164,0.385853962970668,0.431801080785279,0.568476249228871,0.00467139175257732,0.848841788693566,0.602516050024121,0.813264604810997,0.903656266759204,0.627748561747785,0.648723029502422,0.616998871756299,0.736905254447662
"k__Bacteria|p__Proteobacteria",0.0991970991970992,0.00180488268262563,0.0135437828827421,0.133480872589314,0.00148446612236242,0.00910869299425358,0.0234218436873747,0.098364541360512,0.185881411858814,0.0067910676047721,0.0795584775921346,0.159108907482009,0.0480041442426684,0.00584745400998762,0.00135390316029501,0.00424274566255019,0.345230900494152,0.143322055743515,0.167437779195916,0.0144733191528715,0.349504568266632,0.0410434932095582,0.205377302436126,0.0245090296424999,0.122252671964922,0.110824302934372,0.0432786211150327,0.0756473441289212,0.0616097843657547,0.0606661895777763,0.0425407736454719,0.14608086410743,0.193916609706083,0.068958260259558,0.33130259171996,0.00447972781400624,0.0312322171153425,0.0203416796090761,0.146355550421624,0.0198324745977375,0.0149010569816419,0.0373546511627907,0.106684967401816,0.0232310521730713,0.485453814184207,0.0479596129575095,0.174285439322491,0.0692543710125164,0.00363620807665982,0.0705119979468754,0.20559083625141,0.0256634783780143,0.139480574623169,0.0354132728946809,0.0668589208469303,0.242249519511991,0.0287714439572275,0.0156351263771873,0.0482883526350696,0.126544512084865,0.0680025509347833,0.436253659614429,0.03469485250209,0.330080983510586,0.0869465736185791,0.106453414167198,0.197151140804235,0.105855454599442,0.252251184834123,0.312083197313809,0.0464825548357768,0.222153522737812,0.255155550318171,0.0380007217610971,0.15935960591133,0.0136754205494372,0.443393486828459,0.236111111111111,0.0530616263043906,0.0488323620740993,0.027506490295463,0.181346758967904,0.0386433467265422,0.0703724154856126,0.0638327919785341,0.00613432046536224,0.329488614302355,0.126607939257676,0.0367358584777802,0.119097525473071,0.0460124500822175,0.283433570256971,0.0462503851864302,0.0820138888888889,0.260522533620778,0.545914479900034,0.619805617203643,0.190117252931323,0.138380845339055,0.0208414933311344,0.141642904145646,0.147100229110884,0.379567765294315,0.0402976744186046,0.0171838298924465,0.0323058285098937,0.539707598325211,0.589930335655478,0.0906200873362445,0.0829525483304042,0.0626495044993735,0.137385539400702,0.0288576417608676,0.0948835285296931,0.024822511271182,0.0060622594040799,0.107839616995811,0.0141739842448542,0.266336439705594,0.19106334841629,0.55416296953564,0.013937763058028,0.12272655385102,0.00909654744676452,0.0353142415714838,0.446782178217822,0.262922674761784,0.26667343416912,0.134724814494469,0.273921200750469,0.0914970815586055,0.16249642842565,0.0257492354740061,0.0972469054968353,0.0103040325658313,0.0471734109850387,0.0290777830697115,0.0153255310241896,0.165631369504028,0.0583258954557802,0.124698528326032,0.012241612009566,0.346814524896717,0.185175791776305,0.164252758274824,0.179637636401071,0.0144624779045476,0.195494790392799,0.685683944145691,0.471530288092891,0.0325486655047143,0.0284797822706065,0.0194868221298624,0.238261761551732,0.0104286104286104,0.0214408643273736,0.184785184683617,0.0225025571087624,0.125240149345706,0.117523778816702,0.052158950368339,0.0518054651919323,0.0791893413398386,0.0876542790112543,0.296250050348411,0.30561680882047,0.0187427320610165,0.0393275755706354,0.992912371134021,0.0490852457842541,0.159312724978662,0.0338487972508591,0.0414839584844948,0.28560336003953,0.216020842506972,0.010154193305754,0.2292511377741
"k__Bacteria|p__Bacteroidetes",0.00446775446775447,0.101073430227035,0.0632390477678804,0.20094846664559,0.0842434524440674,0.00953661816848025,0.342873246492986,0.00604408627636881,0.00944905509449055,0.00617925971245029,0.0675553410941553,0.442585132389905,0.0419028980919216,0.00964616500917666,0.401111625752663,0.180278809000682,0.00799886238401649,0.0723054615756404,0.253150925335035,0.291593452325904,0.0012868356710848,0.178055698813822,0.200297088532383,0.32640972990049,0.200630309673883,0.0021429441129916,0.0608230819312614,0.257529531408902,0.0108884618903834,0.0115151909439854,0.00223728154080607,0.0530725441541381,0.140704032809296,0.0718344440547176,0.130932346011444,0.284094130989509,0.538301597723791,0.0857987044963824,0.0976473759192946,0.107049307734377,0.129380910752603,0.123401162790698,0.0953613875284649,0.161972058206692,0.0213612191089065,0.102650399663441,0.00163603118082956,0.620805532557347,0.0300308008213552,0.0446554600282305,0.00813104635289928,0.102519197090125,0.00551977920883165,0.0637438912104257,0.0357440995674281,0.0119495278683045,0.0713131779367644,0.22448152948801,0.119050048466915,0.373967813874992,0.0271540294700097,0.00149146550295531,0.0366654723516064,0.0146355742023612,0.0194485756778401,0.0965619017230376,0.29566368334804,0.0581685373240691,0.00256714060031596,0.00219185748262836,0.109103307193999,0.0761121587782484,0.00486094744284704,0.0739805124503789,0.0146375791695989,0.152890394933237,0.00174237710018668,0.00132508833922261,0.215495176215791,0.0976221872474372,0.0461738162937322,0.024040276903713,0.0878436933743008,0.00339489130212487,0.0931836369627642,0.0960338445267055,0.119132996825252,0.00169547749806494,0.150510022112847,0.0754876273653566,0.151661968522434,0.0825041006014215,0.0938734347424153,0.0700347222222222,0.18265578482702,0.00508975648410594,0.0016836305196296,0.29142378559464,0.0810599094036307,0.400482384712115,0.438985157563793,0.00193226046871118,0.021387779478183,0.365246511627907,0.175093748712243,0.000296136761340692,0.0384720982908916,0.101375192255496,0.119266375545852,0.031634446397188,0.000370201617496298,0.000196921461157242,0.08632784976871,0.0180201142738954,0.0379851790433746,0.074656724561244,0.0294733692399761,0.169664285512607,0.0777432625304341,0.400452488687783,0.0112023070097604,0.0734147519492169,0.0206389372133481,0.0228102818551444,0.103597638360095,0.00433168316831683,0.249880540798831,0.00786722160186783,0.0214412527882733,0.00715625837577057,0.00056791292001893,0.0732274786725989,0.107094801223242,0.220060487013999,0.307191621082983,0.314650065267597,0.111799062492167,0.204710507635464,0.00473163156362225,0.0883813884900462,0.0077521287591672,0.0331257547415528,0.100456621004566,0.253178201185683,0.00473420260782347,0.0700535309862055,0.0276394022175799,0.0106148803991586,0.0013782818925392,0.000788695366414722,0.0469120766048592,0.00721714618973561,0.048654836863194,0.00282090735300974,0.0212121212121212,0.041853905727125,0.00311473744794664,0.145789294237982,0.000507485409794468,0.211510559406739,0.0328009894068936,0.351415094339623,0.168136610996435,0.0063921661963211,0.00596125186289121,0.235385895568962,0.430672412613722,0.338525601480568,0,0.0845297339873259,0.191078784280254,0.0742611683848797,0.0228713839553298,0.0277767973740868,0.0734991927198004,0.357201955622414,0.00599917252792718
"k__Bacteria|p__Actinobacteria",0.0172882672882673,0.00370475919065261,0.00312548835755587,0.0745494783433449,0.320167532605238,0.150446264824551,0.0676352705410822,0.168641858260251,0.122437756224378,0.0707861731416335,0.151215392967006,0.0464828013634955,0.206233631680433,0.14243032139656,0.14953504115153,0.0501931964542768,0.0431938568736891,0.0112131464475592,0.000837587747287811,0.0454545454545455,0.0144125595161498,0.0266460374763624,0.00742721330956625,0.0100563365450429,0.011400383666758,0.163643004992086,0.17369701538567,0.0211478786930559,0.227407204074786,0.026836250081322,0.545669725365585,0.00154721938403153,0.00481886534518113,0.0396001403016485,0.021305957590037,0.346101502693507,0.0158240315167433,0.121065191863328,0.139771283354511,0.0160617138251634,0.0969164746085989,0.0210271317829457,0.00789219203294132,0.00832446036201723,0.0580059882915494,0.0693100546907867,0.0130240913611138,0.00141236059026932,0.30321697467488,0.121775952778134,0.0803608522760995,0.0985450626431362,0.0965253697544406,0.012536298604717,0.060939515823025,0.0689395838556029,0.0194630356181245,0.146953985742061,0.012984031426968,0.135645832077632,0.0255764776961031,0.0107440755675855,0.104203989012301,0.0923992584642404,0.0239675094382794,0.0117661135928526,0.028110424807765,0.0389274897559237,0.0243680884676145,0.026395560322716,0.0588135015342653,0.0610566667697159,0.0382689135045958,0.0322988090941898,0.0372273047149894,0.00314655694057848,0.0178801078614395,0.150961915979584,0.0458751722780075,0.0373473988685184,0.18543701322784,0.0171932032724984,0.0518002048373119,0.00791459598748389,0.136091889092878,0.0582407897056231,0.00671493502044172,0.0243632744830637,0.0106522100958223,0.00358078602620087,0.189834390415786,0.00500273373428103,0.0694736252346135,0.0217013888888889,0.0146802176367929,0.0177379537350279,0.0130098721971378,0.0107202680067002,0.0863390211505058,0.0117091673710033,0.00561161073334796,0.0112347144395064,0.0280318017244597,0.00673488372093023,0.0211398195079738,0.0245524296675192,0.00833962523165626,0.173708495431105,0.0349694323144105,0.0190861159929701,0.0323214489121768,0.102235058584135,0.0201574610176761,0.00398148866309884,0.029227341037467,0.0710496802158164,0.0923399162178336,0.237569528757376,0.00777992332018023,0.097737556561086,0.0041407867494824,0.122058924998275,0.256761031156097,0.0771483702019158,0.0568062682778789,0.101387441375717,0.0165837479270315,0.114912191655669,0.288045704921018,0.00785312248726883,0.0456854393437451,0.00877586840279195,0.169724770642202,0.030181149253266,0.0868210151380231,0.0597851189878502,0.0388790013285539,0.181157969458146,0.136392312918567,0.0307540067522993,0.284195501304326,0.402623540832998,0.154308907733565,0.0172462987033573,0.235346038114343,0.0195593988058472,0.03204242326852,0.0273687814899966,0.00851823399159474,0.228743564464892,0.0191932130782638,0.0375194401244168,0.0576391826982902,0.162143889588287,0.106825006825007,0.581365331293623,0.0314859328977215,0.10709171496761,0.0702867292565339,0.023133967435112,0.0546862397160832,0.0791314248536109,0.128917245261775,0.112338920811941,0.0651508438393684,0.0109423757021011,0.0130993912032287,0.00786551511412708,0.00144974226804124,0.016254341054742,0.0470924407169629,0.0753264604810997,0.0296223855642134,0.0588712808385981,0.0617569352708058,0.00349755547198195,0.0233760860570956
"k__Bacteria|p__Verrucomicrobia",0,0.0746651467654602,0,0.264495731900095,0,0,0.00469689378757515,0.000237022991230149,0,0,0.00168888352735388,0.00227249251110422,0,0.0574501685944769,0,0,0.00974083685875787,0.00022555179635895,0,0,0.015999656843821,0,0,0,0,0,0.00209025802693349,0,0.0213499252752615,0,0,0,0.00150375939849624,0.00014030164854437,0,0,0,0.000340922004621387,0,0,0.000397361519510451,0.000193798449612403,0.0142558567551549,0.000258122801923015,0.000983152343924565,0.0198779974758098,0,0,0.000983915126625599,0,0,0.17156136333019,0,0,0,0.00518091418066349,0,0,0,0,0.0008726882153526,0,0,0,0,0,0,0,0.00130331753554502,0.00167886956116215,0,0,0.000294602875324063,0,0,0,0,0,0,0.000170147603045642,0,0,0,0,0,0,0.0507502912089167,0.000221149238878036,0,0,0.00328870096311957,0.00169491525423729,0.00574277950528056,0.00315972222222222,0,0,0,0,0.000204352712782262,0.072955534024614,0.10078964685238,0.000993733955337179,0.000821171288865664,0,0.000164832900646969,0,0.000857986134944059,0,0.0189694323144105,0.00070298769771529,0.000484109807495159,0.000918966818733795,0.000336978831602488,0,0,0.00454669455305993,0,0,0.0897209862032295,0.00183823529411765,0.0137533274179237,0.00641689091285448,0.00300490273604302,0.0239818069051065,0.000855266788059372,0.00188900468994268,0,0,0,0,0.00287111531787348,0,0,0,0,0,0,7.28053730365301e-05,0,0,0,0,0,0,0.000361083249749248,0.0134856907556105,0,0,0,0,0,0.00109350699844479,0,0,0.0174720174720175,0,0.000710972678335647,0,0.000217493747054772,0.000564243108173464,0,0.00081327260897853,0.000844436104334772,0.000204005304137908,0.000422926652434849,0.0550239234449761,0.0735686435460702,0.040098704503393,0,0.000501235186710107,0,0,0.000630934729802202,0,0,0.00955246333207973,0.00111708729830368
"k__Bacteria|p__Fusobacteria",0,0,0,0,0,0,0,0,0.0162483751624838,0,0,0.0092965602726991,0.00483494977983711,0,0,0,0,0,0,0,0.00012868356710848,0,0.00273321449792038,0.00402779971568473,0,0,0,0.000104305197006441,0,0.00019517272786416,0.000194546220939658,0.106174281126843,0,0,0,0,0,0.000151520890942839,0.000385044857725925,0,0,0,0,0,0,0,0.00112276649664774,0,0,0,0,0,0,0,0.005312286559915,0,0.000384644972690207,0,0,0,0,0.00110478926144838,0,0,0,0.000398851308232291,0.000567250724820371,0.000801710315339391,0,0,0.0019320377315604,0.000309147679846663,0.0865248644826773,0,0,0.00685788051151721,0,0,0.000443000590667454,0,0,0,0.028243913968329,0.000429474200871219,4.70743303676505e-05,0.000458311299136259,0,0,0,0,0,0,0,0,0,0,0,0.00160804020100503,0.000306529069173393,0,0.000219346347883308,0,0,0.0233674418604651,0,0,0.000480472235568673,0.000407129286166652,0.000139737991266376,0,0,0,0,0,0,0,0.00484739676840215,0,0,0.00166855203619909,0,0,0,0,0.0493847596976218,0,0,0,0,0.113186813186813,0,0,0.00159021406727829,0.000187073239173136,0.000106008565492092,0.00273119791143689,0,0,7.27943317480346e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000145800933125972,0,0.0001631929873642,0,0,0,0,0,0.000725455424794454,0,0,0,0,0.000362508559229871,0,0,0,0,0,0,0,0.000315467364901101,0,0,0,0
"k__Archaea|p__Euryarchaeota",0,0,0,0,0,0.000305660838733341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257367134216961,0.000343819838404676,0,0,0.0490545354891751,0,0.000651063975602234,0,0,6.50575759547199e-05,0,0,0.00358851674641148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028790212183436,0,0,0,0,0.0336426092499469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356315695706396,0,0,0,0,0,0,0,0.00705958287950301,0,0,0,0,0.0266411175670664,0,0,0.000286316133914146,0,0,0,0,0,0,0.00293634014564247,0,0.0927528923999216,0.000416666666666667,0,0.000121910334948645,0,0,0,0,0,0,0,0,0.0447109243004904,5.38430475164894e-05,0,0,0.00129257641921397,0,0,6.56404870524139e-05,0,0,0,0.000545603346367191,0,0,0,0,0,0,0,0.00709806353800565,0,0,0,0,0,0,0,0.0027348055022654,0,0,0,0,0,0,0.00145588663496069,0,0,0,0,0,0,0,0,0,0,0,0,0.000121500777604977,0.0590577636196212,0.000815964936821001,0.000191100191100191,0,0,0,0,0,0.000107544227563586,0,0,0,0,0,0.0321157397906834,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Tenericutes",0.000582750582750583,0.000664956777809442,0,0,0,0,0.000876753507014028,0,0,0.0163964515142245,0.00120634537668134,0,0,0,0,0.0954996590650807,0.00170642397525685,0.000612212018688577,0,0.00235827244982891,0,0.00335224342444559,0,0.000289580371715895,0.00287750068511921,0,0,0,0,0,0,0,0.00273410799726589,0,0,0,0,0,0,0,0,0,0,0,0,0.0013672696676483,0,0,0,0.000128320287437444,0,0.000336791054829584,0,0.00495785820525533,0,0.00426171972925545,0.000692360950842372,0,0,0.00129588331022844,0,0,0,0,0.0148724402242306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175959723096287,0.00031513432600646,0.00081804609689756,0,0,0,0,0,0,0,0,0.00588284729809228,0.00798611111111111,0,0,0,0,0,0,0.00321707976895518,0,0,0,0.00436807186714468,0,0,0,0.0317903930131004,0.000281195079086116,0,0.000196921461157242,0.00968048279876237,0.00116342201194447,0,0.00500136400836592,0,0,0,0,0,0.00324294486993721,0,0.0518572117703811,0,0.0122785304846274,0,0,0,0,0.00391228900457485,0.00126535776970489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133827465513692,0,0,0,0,0,0.00184681181959565,0,0,0,0,0,0,0.00054373436763693,0.00185394164114138,0,0,0,0.00438611403896501,0.000120836186409957,0.00684418556272103,0,0.00570635410240592,0,0.000214815080018617,0,0,0,0,0,0.00203083866115081,0
"k__Bacteria|__",0,0,0,0,0.00212066588908917,0,0,0,0,0,0,0,0,0.000170728584233215,0.000676951580147504,0.000113644973104023,0.000853211987628426,0,0,0,0.0145841376056278,0,0.00377302436125966,0.000289580371715895,0,0,0.000274132200253572,0,0,0,9.72731104698291e-05,0.00067143482703255,0,7.01508242721852e-05,0.000370245708515651,0,0,0,0,0,0,0,0.000686277568081854,0,0,0,0,0,0,0.00179648402412421,0.000118701406611668,0,0,0.00134570436999788,0.00136601654397814,0,0,0,0,0.00370682900367669,0,0.000220957852289676,0,0.00165869840960094,0.000572016931701178,0,0,0.000296929746421997,0.00315955766192733,0.000419717390290538,0.00153426525741562,0.000278232911861996,0.00347631392882395,0,0,0.00609141151317116,0.000663762704833022,0,0,0,0,0.000276903713027061,0.000196958953754038,0.000224962676646829,0.00110624676363979,0,0.000479638215745837,0.00803508901256865,0,0.000640465793304221,0,0,0,0.00107638888888889,0.00538959039113027,0.00280393770381884,0.00845641692813959,0,0.000442764211028235,0.00307159496175967,0.000603202456679096,0.000248433488834295,0.000485237579784256,0,0.0110850125685087,0.00172297752052766,0.00116686114352392,0,0.00146724890829694,0,5.69540949994305e-05,0.000131280974104828,0,0,0,0.000212179079142797,0.000269299820466786,0,0,0,0,0,0,0,0.00082767753683165,0.00273579989577905,0.000393512662675324,0,0,0,0.00750907083136141,0.000775541858851382,0.00207951070336391,0.000717114083497022,0,0.000100411687920474,0.00872333492091344,0.00600644327551373,0,7.76126353370329e-05,0,0,0,0,0,0,0,0,0.00051968005784265,0,8.39965561411982e-05,0.00036450233281493,0,0.0001631929873642,0,0,0,0,0,0.00120909237465742,0.000699037479163306,0,0.0062863576656033,0,0,0.000332847930101935,0,0,0,0,0,0.00271477663230241,0.000504747783841762,0,0,0.000150432493418578,0
"Unassigned|__",0,0,0,0,0.000265083236136147,0,0,0,0,0,0,0,0,0.000256092876349823,0.000570064488545267,0,0.00124426748195812,0,7.97702616464582e-05,0,0.00613391669883756,0,0.00552584670231729,0,0,0,0.000239865675221876,0,0,6.50575759547199e-05,0.000291819331409487,0.000642242008465917,0,0,0,0,0,0,0,0,0,0,9.35833047384347e-05,0,0,0,0,0,0,0,0,0,0,0.000849918549472342,0.000303559231995143,0,0,0,0,0.00162738834307757,0,0.000248577583825885,0,0,0,0,0,0,0.00161927330173776,0,0.000227298556654165,0.00024731814387733,0.00382983737921282,0,0,0,0.000207425845260319,0.00240478994895956,0.000443000590667454,0,0,0.000226557583385777,0.000196958953754038,0.000184060371801951,0.00174175022360307,0,0.000319758810497225,0.00807194721904832,0,0,0,0,0,0,0.0143465763268658,0.00295632562250465,0.00968087548787021,0.000435510887772194,0.000204352712782262,0.000494753550887464,0.00157198215983037,0.000883319071410826,0.00037325967675712,0,0.00737627230395187,0,0.0061088612808017,0,0.000104803493449782,0,0,0,0.000367613270839077,5.17076449753096e-05,0.000103643053324351,0,0.000508677438659485,0,0,0,0,0,0,0,0,0.00254038561750912,0.000393512662675324,0,6.82842445486411e-05,0,0,0,0.00214067278287462,0.000218252112368659,0,0,0.00721931165868699,0.000182013432591325,9.70591089973794e-05,7.76126353370329e-05,0,0,0,0,0,0,0,0,6.77843553707804e-05,0.000109541023113156,0,0.0010206065318818,0,0,0,0,0,0.000375042618479373,0,0,0.000215088455127171,0,0,0,0,0,0,0,0,0,0,0,0.000914855358213193,0,0,0.000413689356901091,0
